 5.8937087E3  0.9895298
 5.8938024E3  0.9896156
 5.8938961E3  0.9911513
 5.8939898E3  0.9895921
 5.8940836E3  0.9876545
 5.8941773E3  0.993854
 5.8942710E3  0.9999643
 5.8943647E3  0.9984643
 5.8944584E3  0.9836765
 5.8945522E3  0.9328588
 5.8946459E3  0.8340973
 5.8947396E3  0.7060978
 5.8948333E3  0.5869274
 5.8949270E3  0.4972415
 5.8950208E3  0.4492093
 5.8951145E3  0.4420695
 5.8952082E3  0.4615894
 5.8953019E3  0.5025339
 5.8953956E3  0.5559756
 5.8954894E3  0.6216554
 5.8955831E3  0.7181591
 5.8956768E3  0.8359777
 5.8957705E3  0.9353028
 5.8958642E3  0.9850806
 5.8959580E3  0.9995113
 5.8960517E3  0.9943042
 5.8961454E3  0.9838724
 5.8962391E3  0.9806253
 5.8963328E3  0.9817656
